Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
24-warming-drawer-soft-closing-5-1-2-high-replaced-by-gw451720-ws461710,"Cajón Calientaplatos Cierre Suave 24"" Altura 5 1/2""","<p>24"" Warming drawer, soft-closing, 5 1/2"" high - Replaced by GW451720. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: WS461710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,WS461710,shopify,0,continue,manual,4184.04,TRUE,TRUE,draft
30-expressive-series-freezer-column-custom-panel-ready-rvf477790,"Columna de Congelador Panelable 30"" — Serie Expressive","<p>30"" Expressive Series Freezer Column, Custom Panel Ready (Replaces RF471705, May '26). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 30.0""</li><li>Modelo: RVF477790</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 30.0"", Moneda USD",FALSE,Title,Default Title,RVF477790,shopify,0,continue,manual,24520.27,TRUE,TRUE,draft
columna-de-refrigeracion-serie-expressive-de-30-lista-para-panel-perso-rvc477790,"Columna de Refrigeración Panelable 30"" — Serie Expressive","<p>Columna de refrigeración Serie Expressive de 30"", lista para panel personalizado (Custom Panel Ready) (Replaces RC472705, May '26). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 30.0""</li><li>Modelo: RVC477790</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 30.0"", Moneda USD",FALSE,Title,Default Title,RVC477790,shopify,0,continue,manual,27627.9,TRUE,TRUE,draft
30-speed-microwave-oven-tft-display-right-hinged-replaced-by-gm480720-bm484710,"Horno de Velocidad Apertura Derecha 30""","<p>30"" SPEED MICROWAVE OVEN  TFT DISPLAY  RIGHT-HINGED. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 30.0""</li><li>Modelo: BM484710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 30.0"", Moneda USD",FALSE,Title,Default Title,BM484710,shopify,0,continue,manual,13077.71,TRUE,TRUE,draft
30-speed-microwave-oven-tft-display-left-hinged-replaced-by-gm481720-bm485710,"Horno de Velocidad Apertura Izquierda 30""","<p>30"" speed microwave oven, TFT display. left-hinged - Replaced by GM481720. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 30.0""</li><li>Modelo: BM485710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 30.0"", Moneda USD",FALSE,Title,Default Title,BM485710,shopify,0,continue,manual,13077.71,TRUE,TRUE,draft
30-warming-drawer-soft-closing-8-high-replaced-by-gw483720-ws482710,"Cajón Calientaplatos Cierre Suave 30"" Altura 8 1/4""","<p>30"" Warming drawer, soft-closing, 8 ¼'' high - Replaced by GW483720. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 30.0""</li><li>Modelo: WS482710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 30.0"", Moneda USD",FALSE,Title,Default Title,WS482710,shopify,0,continue,manual,4820.37,TRUE,TRUE,draft
35-5-expressive-series-freezer-column-custom-panel-ready-rvf497790,"Columna de Congelador Panelable 35.5"" — Serie Expressive","<p>35.5"" Expressive Series Freezer Column, Custom Panel Ready (Replaces RF491705, May '26). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Modelo: RVF497790</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, Moneda USD",FALSE,Title,Default Title,RVF497790,shopify,0,continue,manual,26049.26,TRUE,TRUE,draft
35-5-expressive-series-refrigeration-column-custom-panel-ready-rvc497790,"Columna de Refrigeración Panelable 35.5"" — Serie Expressive","<p>35.5"" Expressive Series Refrigeration Column, Custom Panel Ready (Replaces RC492705, May '26). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Modelo: RVC497790</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, Moneda USD",FALSE,Title,Default Title,RVC497790,shopify,0,continue,manual,29351.26,TRUE,TRUE,draft
congelador-columna-empotrable-36-con-home-connect-rf491705,"Columna de Congelador con Fábrica de Hielos Home Connect 36""","<p>Congelador Columna empotrable Gaggenau 36 Pulgadas con Home Connect. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 36.0""</li><li>Modelo: RF491705</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 36.0"", Moneda USD",FALSE,Title,Default Title,RF491705,shopify,0,continue,manual,19479.72,TRUE,TRUE,draft
columna-de-refrigeracion-36-con-home-connect-rc492705,"Columna de Refrigeración Home Connect 36""","<p>Columna de Refrigeración Gaggenau 36"" con Home Connect. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 36.0""</li><li>Modelo: RC492705</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 36.0"", Moneda USD",FALSE,Title,Default Title,RC492705,shopify,0,continue,manual,21946.62,TRUE,TRUE,draft
36-wall-hood-double-box-design-standard-duct-cover-included-phasing-ou-aw230790,"Campana de Pared Diseño Doble Caja 36""","<p>36"" Wall hood, double box design, standard duct cover included - Phasing out Dec '25, check avail.. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 36.0""</li><li>Instalación: Pared</li><li>Modelo: AW230790</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Pared, Bajo pedido, 36.0"", Moneda USD",FALSE,Title,Default Title,AW230790,shopify,0,continue,manual,4420.63,TRUE,TRUE,draft
40-island-hood-double-box-design-standard-duct-cover-included-phasing--ai230700,"Campana de Isla Diseño Doble Caja 40""","<p>40"" Island hood, double box design, standard duct cover included - Phasing out Dec '25, check avail.. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 40.0""</li><li>Instalación: Isla</li><li>Modelo: AI230700</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Isla, Bajo pedido, 40.0"", Moneda USD",FALSE,Title,Default Title,AI230700,shopify,0,continue,manual,5153.93,TRUE,TRUE,draft
400-series-15-vario-induction-cooktop-1-flex-induction-zone-home-conne-vi422613,"Parrilla de Inducción 1 Zona Flex Home Connect 15"" — Vario Serie 400","<p>400 Series 15"" Vario Induction Cooktop, 1 Flex Induction Zone, Home Connect. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 15.0""</li><li>Energía: Inducción</li><li>Modelo: VI422613</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Inducción, Bajo pedido, 15.0"", Moneda USD",FALSE,Title,Default Title,VI422613,shopify,0,continue,manual,6053.32,TRUE,TRUE,draft
parrilla-de-induccion-serie-400-15-vario-wok-home-connect-acero-vi414613,"Parrilla de Inducción Wok Home Connect 15"" — Vario Serie 400","<p>Parrilla de Inducción Gaggenau Serie 400 15'' Vario Wok Home Connect Acero. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 15.0""</li><li>Energía: Inducción</li><li>Modelo: VI414613</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Inducción, Bajo pedido, 15.0"", Moneda USD",FALSE,Title,Default Title,VI414613,shopify,0,continue,manual,6493.13,TRUE,TRUE,draft
