CAMPO,NIVEL,DESTINO EN SHOPIFY,QUIÉN LO LLENA,REGLA / FORMATO,"EJEMPLO — Refrigerador 36"" acero inoxidable con máquina de hielo"
ALT_IMAGEN_PRINCIPAL,OBLIGATORIO,Media alt text,Equipo,"Describe lo que se ve, incluye marca y medida. No repetir el título tal cual.",Refrigerador Sub-Zero Classic de 36 pulgadas en acero inoxidable con despachador
IMAGENES_ADICIONALES,IMPORTANTE,Media (posición 2+),Equipo,"Nombres de archivo separados por coma, en el orden en que deben salir: ambiente, interior, detalle, dibujo técnico.","...-ambiente-cocina.jpg, ...-interior-cajones.jpg, ...-dibujo-tecnico.png"
VIDEO_URL,OPCIONAL,Media (video),Equipo,URL de YouTube/Vimeo oficial de la marca.,
FICHA_TECNICA_PDF,IMPORTANTE,Metafield homea.ficha_pdf,Equipo,URL o nombre del PDF oficial. Es la fuente que sustenta las specs.,subzero-cl3650sd-spec-sheet.pdf
— BLOQUE E · PRECIO —,,,,,
PRECIO_LISTA,OBLIGATORIO,Variant Price,Equipo,"En su MONEDA ORIGINAL, sin convertir. Solo número, punto decimal, sin símbolo ni comas.",14285.00
MONEDA,OBLIGATORIO,Tag 'Moneda USD|MXN' + metafield custom.moneda,Equipo,USD o MXN. Los USD no van al checkout: operan como Cotizar.,USD
IVA_INCLUIDO,OBLIGATORIO,Metafield facetas.iva,Equipo,Sí / No. Las listas USD normalmente son + IVA.,No
PRECIO_ANTERIOR,OPCIONAL,Compare-at price,Equipo,Solo si hay promoción real.,
COSTO,OPCIONAL,Cost per item,Equipo,Costo de compra. No se muestra al público.,
— BLOQUE F · INVENTARIO —,,,,,
EXISTENCIA,OBLIGATORIO,Variant Inventory Qty,Equipo,Piezas físicas disponibles hoy. 0 si es bajo pedido.,0
DISPONIBILIDAD,AUTOMÁTICO,Metafield facetas.disponibilidad,Yo,La calculo: >2 Entrega inmediata; 1-2 Últimas unidades; 0 con precio Bajo pedido; sin precio Bajo cotización.,Bajo pedido
TIEMPO_ENTREGA,IMPORTANTE,Metafield homea.entrega,Equipo,Texto corto y honesto.,8-12 semanas (importación)
— BLOQUE G · VARIANTES (una FILA por variante) —,,,,,
OPCION1_COLOR_ACABADO,OBLIGATORIO,Option 1,Equipo,"El acabado NUNCA va en el título: es variante. Un renglón por acabado, repitiendo SKU propio y precio propio.",Acero Inoxidable
OPCION2_COMBUSTIBLE,CONDICIONAL,Option 2,Equipo,Solo cocción/exterior: Gas Natural / LP.,
OPCION3_APERTURA,CONDICIONAL,Option 3,Equipo,Solo refrigeración: Apertura Izquierda / Apertura Derecha / Reversible.,Apertura Derecha
— BLOQUE H · FACETAS FILTRABLES (son los filtros del sitio) —,,,,,
ANCHO,OBLIGATORIO,Metafield facetas.ancho,Equipo,"Valor cerrado: 15"", 18"", 24"", 30"", 36"", 42"", 48"", 60"", 66"".","36"""
INSTALACION,OBLIGATORIO,Metafield facetas.instalacion,Equipo,Refrigeración: Empotrado / Bajo cubierta / De piso / Columna.,De piso
COLOR,OBLIGATORIO,Metafield facetas.color,Equipo,"Valor cerrado: Inoxidable, Cromo, Negro, Blanco, Gris, Bronce, Dorado/Latón, Níquel, + paleta de marca.",Inoxidable
TIPO_ACABADO,OPCIONAL,Metafield facetas.acabado,Equipo,Mate / Cepillado / Pulido.,Cepillado
PANELABLE,CONDICIONAL,Metafield facetas.panelable,Equipo,"Sí / No. Si es Sí, los paneles compatibles van en SKUS_COMPLEMENTARIOS.",No
MAQUINA_HIELO,CONDICIONAL,Metafield facetas.maquina_hielo,Equipo,Sí / No. Es filtro propio de refrigeración.,Sí
DESPACHADOR,CONDICIONAL,Metafield facetas.despachador,Equipo,Sí / No (agua y hielo en la puerta).,Sí
CAPACIDAD,IMPORTANTE,Metafield facetas.capacidad,Equipo,"Con unidad: pies³ para refrigeración, botellas para cavas, lbs/día para hielo.",22.7 pies³
ZONAS_TEMPERATURA,CONDICIONAL,Metafield facetas.zonas,Equipo,Número de zonas independientes.,2
DIMENSIONES_PRODUCTO,OBLIGATORIO,specs.tabla,Equipo,Al × An × F en cm (y pulgadas si el PDF las da).,213.4 × 91.4 × 61.0 cm
NICHO_EMPOTRE,CONDICIONAL,specs.tabla,Equipo,Solo empotrables/columnas. Con holguras y ventilación.,
PESO_KG,OPCIONAL,specs.tabla,Equipo,"Neto, en kg.",215 kg
NIVEL_RUIDO_DB,OPCIONAL,facetas.ruido,Equipo,Solo el número + dB.,
ENERGY_STAR,OPCIONAL,facetas.energy_star,Equipo,Sí / No.,Sí
VOLTAJE_CONEXION,IMPORTANTE,specs.tabla,Equipo,"Voltaje, watts, amperes y si es clavija o conexión fija.",115 V / 60 Hz · 15 A · clavija de 3 patas
CONECTIVIDAD,OPCIONAL,facetas.conectividad,Equipo,WiFi / App / Ninguna.,WiFi
GARANTIA,IMPORTANTE,Metafield homea.garantia,Equipo,Como la da la marca en México.,2 años completa · 12 años sistema sellado
PAIS_ORIGEN,OPCIONAL,Country of origin,Equipo,Para importación.,Estados Unidos
— BLOQUE I · CONTROL —,,,,,
ESTADO,OBLIGATORIO,Status,Yo,Siempre entra como draft; se activa tras revisión.,draft
FUENTE_DEL_DATO,OBLIGATORIO,(control interno),Equipo,"De dónde salieron las specs. Si no hay fuente, el campo se deja VACÍO — nunca se inventa.","Spec sheet oficial Sub-Zero, junio 2026"
RESPONSABLE,OBLIGATORIO,(control interno),Equipo,Quién capturó.,N. Apellido
FECHA_CAPTURA,OBLIGATORIO,(control interno),Equipo,AAAA-MM-DD.,2026-07-28
